n = 500000 ,dist = 2.189360e-12 ,duration = 1.725370e+00 ,selected_d = 4.475168e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.619074e+00 ,selected_d = 1.557971e-06
n = 500000 ,dist = 2.189360e-12 ,duration = 1.652084e+00 ,selected_d = 8.518008e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.545349e+00 ,selected_d = 1.518860e-09
n = 500000 ,dist = 2.189360e-12 ,duration = 1.492283e+00 ,selected_d = 2.082301e-06
n = 500000 ,dist = 2.189360e-12 ,duration = 1.493552e+00 ,selected_d = 8.142812e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.567673e+00 ,selected_d = 7.742457e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.522544e+00 ,selected_d = 1.369582e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.517762e+00 ,selected_d = 3.637613e-08
n = 500000 ,dist = 2.189360e-12 ,duration = 1.598976e+00 ,selected_d = 3.341997e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.528118e+00 ,selected_d = 4.267699e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.567200e+00 ,selected_d = 4.011530e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.550738e+00 ,selected_d = 1.243858e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.780039e+00 ,selected_d = 3.599315e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.599235e+00 ,selected_d = 1.796329e-06
n = 500000 ,dist = 2.189360e-12 ,duration = 1.512299e+00 ,selected_d = 2.179531e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.523106e+00 ,selected_d = 2.875746e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.535652e+00 ,selected_d = 3.132930e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.520501e+00 ,selected_d = 2.655414e-08
n = 500000 ,dist = 2.189360e-12 ,duration = 1.580639e+00 ,selected_d = 1.225432e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.597681e+00 ,selected_d = 1.162460e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.659876e+00 ,selected_d = 7.030992e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.632716e+00 ,selected_d = 2.737412e-09
n = 500000 ,dist = 2.189360e-12 ,duration = 1.754612e+00 ,selected_d = 4.046886e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.585111e+00 ,selected_d = 8.376676e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.462189e+00 ,selected_d = 8.628074e-08
n = 500000 ,dist = 2.189360e-12 ,duration = 1.635949e+00 ,selected_d = 4.503548e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.579173e+00 ,selected_d = 1.051383e-06
n = 500000 ,dist = 2.189360e-12 ,duration = 1.595984e+00 ,selected_d = 2.261448e-06
n = 500000 ,dist = 2.189360e-12 ,duration = 1.501995e+00 ,selected_d = 2.150449e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.502660e+00 ,selected_d = 5.420693e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.538431e+00 ,selected_d = 1.382855e-06
n = 500000 ,dist = 2.189360e-12 ,duration = 1.582311e+00 ,selected_d = 2.411947e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.483550e+00 ,selected_d = 1.286985e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.494153e+00 ,selected_d = 6.474417e-07
n = 500000 ,dist = 2.189360e-12 ,duration = 1.661232e+00 ,selected_d = 1.913314e-06
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.174300e+00 ,selected_d = 6.499001e-09
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.282092e+00 ,selected_d = 3.754011e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.059042e+00 ,selected_d = 8.716808e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.119225e+00 ,selected_d = 9.059724e-10
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.199616e+00 ,selected_d = 5.644741e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.231942e+00 ,selected_d = 1.291179e-06
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.330100e+00 ,selected_d = 2.095786e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.309464e+00 ,selected_d = 2.163504e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.459341e+00 ,selected_d = 1.845760e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.193574e+00 ,selected_d = 8.774089e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.428541e+00 ,selected_d = 1.489122e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.113040e+00 ,selected_d = 7.962080e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.173525e+00 ,selected_d = 2.133272e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.108986e+00 ,selected_d = 6.685104e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.162765e+00 ,selected_d = 1.959422e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.229745e+00 ,selected_d = 9.409924e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.320372e+00 ,selected_d = 3.939132e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.529740e+00 ,selected_d = 8.247936e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.093876e+00 ,selected_d = 1.544252e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.150337e+00 ,selected_d = 1.542468e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.286049e+00 ,selected_d = 2.102530e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.279397e+00 ,selected_d = 1.224003e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.160179e+00 ,selected_d = 4.230915e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.321491e+00 ,selected_d = 8.596815e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.277938e+00 ,selected_d = 1.817014e-09
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.107148e+00 ,selected_d = 2.807053e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.209447e+00 ,selected_d = 3.268933e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.283386e+00 ,selected_d = 6.937437e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.139232e+00 ,selected_d = 1.925210e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.170808e+00 ,selected_d = 1.177217e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.221202e+00 ,selected_d = 1.856892e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.120518e+00 ,selected_d = 1.268506e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.498551e+00 ,selected_d = 1.242694e-06
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.176612e+00 ,selected_d = 4.533482e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.343365e+00 ,selected_d = 3.510754e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.174352e+00 ,selected_d = 6.153187e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.421391e+00 ,selected_d = 5.578819e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.190930e+00 ,selected_d = 3.240479e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.425745e+00 ,selected_d = 9.846595e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.153861e+00 ,selected_d = 9.922229e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.196658e+00 ,selected_d = 2.001534e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.216113e+00 ,selected_d = 6.245047e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.223164e+00 ,selected_d = 3.580217e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.327932e+00 ,selected_d = 5.115828e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.089336e+00 ,selected_d = 2.711213e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.304976e+00 ,selected_d = 1.549174e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.187071e+00 ,selected_d = 5.397547e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.625715e+00 ,selected_d = 1.160333e-06
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.199605e+00 ,selected_d = 3.184042e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.104020e+00 ,selected_d = 1.080830e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.203736e+00 ,selected_d = 3.474491e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.172591e+00 ,selected_d = 2.782372e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.139432e+00 ,selected_d = 2.008826e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.483441e+00 ,selected_d = 3.196701e-09
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.283803e+00 ,selected_d = 8.296907e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.076887e+00 ,selected_d = 5.094056e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.837379e+00 ,selected_d = 1.313054e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.203376e+00 ,selected_d = 9.796861e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.531131e+00 ,selected_d = 1.870350e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.194302e+00 ,selected_d = 5.329305e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.458024e+00 ,selected_d = 3.373372e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.132687e+00 ,selected_d = 1.294228e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.427639e+00 ,selected_d = 5.382033e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.291179e+00 ,selected_d = 9.617131e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.543699e+00 ,selected_d = 1.641866e-09
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.196317e+00 ,selected_d = 1.019568e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.221570e+00 ,selected_d = 3.571033e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.125283e+00 ,selected_d = 3.640044e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.151120e+00 ,selected_d = 2.679282e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.491246e+00 ,selected_d = 5.539965e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.368430e+00 ,selected_d = 6.578105e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.299612e+00 ,selected_d = 6.383114e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.460845e+00 ,selected_d = 3.294534e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.335942e+00 ,selected_d = 2.998733e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.211368e+00 ,selected_d = 6.906399e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.362711e+00 ,selected_d = 2.173343e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.441157e+00 ,selected_d = 3.218565e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.162503e+00 ,selected_d = 1.207225e-06
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.490355e+00 ,selected_d = 2.607092e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.356383e+00 ,selected_d = 2.434463e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.162119e+00 ,selected_d = 2.136656e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.152243e+00 ,selected_d = 4.717979e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.204554e+00 ,selected_d = 1.033394e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.127779e+00 ,selected_d = 4.482148e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.725029e+00 ,selected_d = 2.351008e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.132957e+00 ,selected_d = 7.822798e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.709553e+00 ,selected_d = 3.025134e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.147693e+00 ,selected_d = 9.046143e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.183745e+00 ,selected_d = 2.221287e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.322826e+00 ,selected_d = 6.937176e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.566660e+00 ,selected_d = 9.752777e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.425844e+00 ,selected_d = 1.429335e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.508657e+00 ,selected_d = 7.021388e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.542611e+00 ,selected_d = 1.481062e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.355374e+00 ,selected_d = 3.807026e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.157103e+00 ,selected_d = 2.246708e-08
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.469971e+00 ,selected_d = 2.215678e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.272141e+00 ,selected_d = 3.857724e-07
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.220531e+00 ,selected_d = 9.358622e-09
n = 1000000 ,dist = 5.112022e-13 ,duration = 3.557729e+00 ,selected_d = 1.048658e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.204109e+00 ,selected_d = 1.977700e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.218344e+00 ,selected_d = 6.106870e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.829518e+00 ,selected_d = 4.145061e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.820884e+00 ,selected_d = 6.574227e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.124938e+00 ,selected_d = 1.244246e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.100814e+00 ,selected_d = 5.654323e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.821020e+00 ,selected_d = 2.065040e-09
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.701402e+00 ,selected_d = 4.910190e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.220814e+00 ,selected_d = 3.641414e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.941043e+00 ,selected_d = 2.918752e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.808050e+00 ,selected_d = 2.589097e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.933106e+00 ,selected_d = 9.915784e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.825520e+00 ,selected_d = 1.384002e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.820095e+00 ,selected_d = 6.313100e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.052625e+00 ,selected_d = 2.091123e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.913304e+00 ,selected_d = 3.161458e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.778310e+00 ,selected_d = 5.111834e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.029550e+00 ,selected_d = 1.178876e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.980835e+00 ,selected_d = 3.323025e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 5.057426e+00 ,selected_d = 1.504645e-07
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.788159e+00 ,selected_d = 7.388940e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.796466e+00 ,selected_d = 7.212908e-08
n = 1500000 ,dist = 3.247402e-14 ,duration = 4.892771e+00 ,selected_d = 9.821296e-08
