n = 500000 ,dist = 6.622480e-12 ,duration = 1.194603e+00 ,selected_d = 8.292131e-09
n = 500000 ,dist = 6.622480e-12 ,duration = 1.155600e+00 ,selected_d = 4.080972e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.139800e+00 ,selected_d = 2.570177e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.227626e+00 ,selected_d = 8.092470e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.131643e+00 ,selected_d = 1.160969e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.161700e+00 ,selected_d = 7.390885e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.210637e+00 ,selected_d = 1.223856e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.251250e+00 ,selected_d = 3.927608e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.204153e+00 ,selected_d = 1.056615e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.180569e+00 ,selected_d = 2.658106e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.292223e+00 ,selected_d = 1.567792e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.248315e+00 ,selected_d = 1.327203e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.160239e+00 ,selected_d = 4.758185e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.235483e+00 ,selected_d = 1.303289e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.248607e+00 ,selected_d = 1.129801e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.276874e+00 ,selected_d = 7.472665e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.162279e+00 ,selected_d = 3.297946e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.223168e+00 ,selected_d = 5.789555e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.274143e+00 ,selected_d = 1.829366e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.170891e+00 ,selected_d = 1.929720e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.161578e+00 ,selected_d = 8.903990e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.168557e+00 ,selected_d = 1.001939e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.321447e+00 ,selected_d = 1.247349e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.169039e+00 ,selected_d = 1.874703e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.408464e+00 ,selected_d = 2.656992e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.208351e+00 ,selected_d = 6.798205e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.256024e+00 ,selected_d = 5.732623e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.565515e+00 ,selected_d = 1.405198e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.234146e+00 ,selected_d = 1.016549e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.279807e+00 ,selected_d = 1.481286e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 2.344654e+00 ,selected_d = 6.387547e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.164858e+00 ,selected_d = 9.204817e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.394007e+00 ,selected_d = 1.649066e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.231870e+00 ,selected_d = 1.575277e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.275889e+00 ,selected_d = 6.223639e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.216430e+00 ,selected_d = 1.463549e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.620997e+00 ,selected_d = 9.365323e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.891088e+00 ,selected_d = 5.595980e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.709963e+00 ,selected_d = 3.080318e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.737423e+00 ,selected_d = 3.111944e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.834145e+00 ,selected_d = 1.714467e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.541058e+00 ,selected_d = 8.236549e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.728631e+00 ,selected_d = 2.062089e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.710867e+00 ,selected_d = 2.512982e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.914556e+00 ,selected_d = 3.033539e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.727169e+00 ,selected_d = 1.469469e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 2.585805e+00 ,selected_d = 6.470080e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 4.772889e+00 ,selected_d = 8.488354e-07
