dist = 9.969803e-14 ,duration = 2.337347 ,selected_d = 4.952272e-08
dist = 2.309264e-13 ,duration = 2.261519 ,selected_d = 1.944706e-07
dist = 7.283063e-13 ,duration = 2.282554 ,selected_d = 2.289355e-07
dist = 3.765876e-13 ,duration = 2.317938 ,selected_d = 4.413791e-07
dist = 1.110223e-13 ,duration = 2.256252 ,selected_d = 3.891575e-08
dist = 7.399081e-13 ,duration = 2.218299 ,selected_d = 7.303369e-08
dist = 8.881784e-14 ,duration = 2.133189 ,selected_d = 6.748716e-08
dist = 2.220446e-14 ,duration = 2.356562 ,selected_d = 4.094104e-07
dist = 1.030287e-12 ,duration = 3.323394 ,selected_d = 1.322905e-07
dist = 1.264766e-12 ,duration = 2.139423 ,selected_d = 1.064439e-07
dist = 1.703582e-12 ,duration = 2.518310 ,selected_d = 9.979267e-07
dist = 3.446132e-13 ,duration = 2.298131 ,selected_d = 2.345246e-07
dist = 5.012796e-13 ,duration = 2.459731 ,selected_d = 7.438149e-07
dist = 2.844169e-12 ,duration = 2.554874 ,selected_d = 4.523353e-07
dist = 8.038015e-13 ,duration = 2.288378 ,selected_d = 1.017857e-08
dist = 1.478817e-12 ,duration = 2.210110 ,selected_d = 6.340913e-08
dist = 2.659825e-13 ,duration = 2.475321 ,selected_d = 4.562197e-07
dist = 1.958433e-12 ,duration = 2.274411 ,selected_d = 2.732176e-07
