dist = 7.283063e-13 ,duration = 3.853944 , selected_d = 7.992429e-07
dist = 3.765876e-13 ,duration = 3.244202 , selected_d = 6.984217e-08
dist = 1.110223e-13 ,duration = 3.302098 , selected_d = 3.501123e-08
dist = 7.399081e-13 ,duration = 3.267567 , selected_d = 6.071053e-08
dist = 8.881784e-14 ,duration = 3.620225 , selected_d = 7.099204e-07
dist = 2.220446e-14 ,duration = 3.467930 , selected_d = 3.570380e-07
dist = 1.030287e-12 ,duration = 3.296857 , selected_d = 4.938961e-09
dist = 1.264766e-12 ,duration = 3.248487 , selected_d = 2.471290e-07
dist = 1.703582e-12 ,duration = 3.190588 , selected_d = 2.161761e-08
dist = 3.446132e-13 ,duration = 3.467724 , selected_d = 7.794386e-07
dist = 5.012796e-13 ,duration = 3.258175 , selected_d = 1.300773e-07
dist = 2.844169e-12 ,duration = 3.343022 , selected_d = 1.252720e-07
dist = 8.038015e-13 ,duration = 3.291507 , selected_d = 4.183918e-08
dist = 1.478817e-12 ,duration = 3.366747 , selected_d = 5.448780e-08
dist = 2.659825e-13 ,duration = 3.379743 , selected_d = 1.895246e-07
dist = 1.958433e-12 ,duration = 3.452595 , selected_d = 4.495422e-07
