n = 500000 ,dist = 6.622480e-12 ,duration = 1.707743e+00 ,selected_d = 1.515685e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.482487e+00 ,selected_d = 5.275800e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.593068e+00 ,selected_d = 3.862237e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.482015e+00 ,selected_d = 2.099483e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.550063e+00 ,selected_d = 5.908990e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.512095e+00 ,selected_d = 3.698092e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.545121e+00 ,selected_d = 7.630377e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.512262e+00 ,selected_d = 4.237202e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.678919e+00 ,selected_d = 5.376793e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.607370e+00 ,selected_d = 1.602089e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.508923e+00 ,selected_d = 3.111109e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.490940e+00 ,selected_d = 1.780227e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.507662e+00 ,selected_d = 2.544081e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.497805e+00 ,selected_d = 1.217672e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.643709e+00 ,selected_d = 4.769227e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.585805e+00 ,selected_d = 4.459261e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.479689e+00 ,selected_d = 2.695792e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.533756e+00 ,selected_d = 1.002830e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.530778e+00 ,selected_d = 9.278148e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.493571e+00 ,selected_d = 5.309425e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.484914e+00 ,selected_d = 2.199148e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.477772e+00 ,selected_d = 7.710523e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.518467e+00 ,selected_d = 1.039871e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.545487e+00 ,selected_d = 3.490628e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.515484e+00 ,selected_d = 6.641258e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.475775e+00 ,selected_d = 4.968638e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.655032e+00 ,selected_d = 7.523271e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.592420e+00 ,selected_d = 8.310757e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.545921e+00 ,selected_d = 8.808719e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.677742e+00 ,selected_d = 1.723040e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.481696e+00 ,selected_d = 2.241462e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.469684e+00 ,selected_d = 3.066332e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.662756e+00 ,selected_d = 1.003067e-06
n = 500000 ,dist = 6.622480e-12 ,duration = 1.570831e+00 ,selected_d = 5.354640e-08
n = 500000 ,dist = 6.622480e-12 ,duration = 1.615462e+00 ,selected_d = 3.753830e-07
n = 500000 ,dist = 6.622480e-12 ,duration = 1.730088e+00 ,selected_d = 6.874177e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 4.250718e+00 ,selected_d = 9.171376e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.556324e+00 ,selected_d = 2.564011e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.539086e+00 ,selected_d = 5.105967e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.626931e+00 ,selected_d = 3.804334e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.459215e+00 ,selected_d = 2.283336e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.631374e+00 ,selected_d = 6.147790e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.462022e+00 ,selected_d = 1.143236e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.500600e+00 ,selected_d = 1.366440e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.609281e+00 ,selected_d = 2.817097e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.429358e+00 ,selected_d = 9.659179e-09
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.562648e+00 ,selected_d = 3.100911e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.480214e+00 ,selected_d = 4.708777e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.382773e+00 ,selected_d = 4.008349e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.403679e+00 ,selected_d = 5.380113e-09
n = 1000000 ,dist = 2.913225e-13 ,duration = 4.072137e+00 ,selected_d = 1.343286e-06
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.643701e+00 ,selected_d = 7.037275e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.820043e+00 ,selected_d = 1.070382e-06
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.331024e+00 ,selected_d = 1.162553e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.501549e+00 ,selected_d = 3.105659e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.509977e+00 ,selected_d = 1.282330e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.637806e+00 ,selected_d = 1.128074e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.690143e+00 ,selected_d = 1.611302e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.762533e+00 ,selected_d = 2.687252e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.684136e+00 ,selected_d = 7.612022e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.347230e+00 ,selected_d = 4.016038e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.299816e+00 ,selected_d = 7.949770e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.687175e+00 ,selected_d = 3.509385e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.591933e+00 ,selected_d = 2.314252e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.415708e+00 ,selected_d = 4.332042e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.486745e+00 ,selected_d = 4.720556e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.458913e+00 ,selected_d = 5.919968e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.812327e+00 ,selected_d = 1.924815e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.409132e+00 ,selected_d = 5.631663e-09
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.409858e+00 ,selected_d = 8.471039e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.634403e+00 ,selected_d = 4.791204e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.631731e+00 ,selected_d = 2.148690e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.466357e+00 ,selected_d = 3.098459e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.397534e+00 ,selected_d = 7.778267e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.841492e+00 ,selected_d = 8.405661e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.935721e+00 ,selected_d = 1.380457e-06
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.574149e+00 ,selected_d = 3.167121e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.295265e+00 ,selected_d = 3.914774e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.646943e+00 ,selected_d = 3.102715e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.516796e+00 ,selected_d = 9.944694e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.961227e+00 ,selected_d = 2.448038e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.500425e+00 ,selected_d = 3.595648e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.636145e+00 ,selected_d = 2.627065e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.567765e+00 ,selected_d = 8.805097e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.575493e+00 ,selected_d = 4.035512e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.613886e+00 ,selected_d = 1.645486e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.498458e+00 ,selected_d = 8.004199e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.887730e+00 ,selected_d = 9.112954e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.593096e+00 ,selected_d = 2.903338e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.537688e+00 ,selected_d = 3.832114e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.411618e+00 ,selected_d = 1.301924e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.632556e+00 ,selected_d = 4.098424e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.540998e+00 ,selected_d = 9.609804e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.767901e+00 ,selected_d = 3.208142e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.582727e+00 ,selected_d = 7.353214e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.453393e+00 ,selected_d = 2.743054e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.955737e+00 ,selected_d = 8.556709e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.462477e+00 ,selected_d = 7.195860e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.664659e+00 ,selected_d = 7.522067e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 4.069339e+00 ,selected_d = 1.068702e-06
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.634301e+00 ,selected_d = 1.720018e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.740465e+00 ,selected_d = 5.434628e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.480272e+00 ,selected_d = 1.860521e-10
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.952083e+00 ,selected_d = 5.365486e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.759884e+00 ,selected_d = 1.883631e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.599040e+00 ,selected_d = 1.654799e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.537336e+00 ,selected_d = 1.051608e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.866316e+00 ,selected_d = 3.002443e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.708170e+00 ,selected_d = 2.576570e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.977900e+00 ,selected_d = 3.255304e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.619320e+00 ,selected_d = 1.881788e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.808104e+00 ,selected_d = 5.634028e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.586643e+00 ,selected_d = 5.754482e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 4.029345e+00 ,selected_d = 1.126043e-06
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.885143e+00 ,selected_d = 2.067669e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.699453e+00 ,selected_d = 3.162427e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.517409e+00 ,selected_d = 2.452483e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.538333e+00 ,selected_d = 3.310422e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.678332e+00 ,selected_d = 2.651325e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.846258e+00 ,selected_d = 7.701082e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.507690e+00 ,selected_d = 4.106391e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.903379e+00 ,selected_d = 2.913270e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.480001e+00 ,selected_d = 4.884342e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.604099e+00 ,selected_d = 2.510635e-08
n = 1000000 ,dist = 2.913225e-13 ,duration = 4.055018e+00 ,selected_d = 9.108396e-07
n = 1000000 ,dist = 2.913225e-13 ,duration = 3.618573e+00 ,selected_d = 3.051877e-07
